obs_id,gw_id,side,role,conflict_id,year
231-2011,775,A,primary,231,2011
231-2012,775,A,primary,231,2012
231-2013,775,A,primary,231,2013
231-2014,775,A,primary,231,2014
231-2015,775,A,primary,231,2015
231-2016,775,A,primary,231,2016
231-2017,775,A,primary,231,2017
231-2018,775,A,primary,231,2018
232-1949,710,A,primary,232,1949
232-1949,713,B,primary,232,1949
232-1950,710,A,primary,232,1950
232-1950,713,B,primary,232,1950
232-1954,710,A,primary,232,1954
232-1954,713,B,primary,232,1954
232-1954,2,B,secondary,232,1954
232-1958,710,A,primary,232,1958
232-1958,713,B,primary,232,1958
232-1958,2,B,secondary,232,1958
233-1949,90,A,primary,233,1949
233-1954,90,A,primary,233,1954
233-1963,90,A,primary,233,1963
233-1965,90,A,primary,233,1965
233-1966,90,A,primary,233,1966
233-1967,90,A,primary,233,1967
233-1968,90,A,primary,233,1968
233-1969,90,A,primary,233,1969
233-1970,90,A,primary,233,1970
233-1971,90,A,primary,233,1971
233-1972,90,A,primary,233,1972
233-1973,90,A,primary,233,1973
233-1974,90,A,primary,233,1974
233-1975,90,A,primary,233,1975
233-1976,90,A,primary,233,1976
233-1977,90,A,primary,233,1977
233-1978,90,A,primary,233,1978
233-1979,90,A,primary,233,1979
233-1980,90,A,primary,233,1980
233-1981,90,A,primary,233,1981
233-1982,90,A,primary,233,1982
233-1983,90,A,primary,233,1983
233-1984,90,A,primary,233,1984
233-1985,90,A,primary,233,1985
233-1986,90,A,primary,233,1986
233-1987,90,A,primary,233,1987
233-1988,90,A,primary,233,1988
233-1989,90,A,primary,233,1989
233-1990,90,A,primary,233,1990
233-1991,90,A,primary,233,1991
233-1992,90,A,primary,233,1992
233-1993,90,A,primary,233,1993
233-1994,90,A,primary,233,1994
233-1995,90,A,primary,233,1995
234-1949,666,A,primary,234,1949
234-1950,666,A,primary,234,1950
234-1951,666,A,primary,234,1951
234-1952,666,A,primary,234,1952
234-1953,666,A,primary,234,1953
234-1954,666,A,primary,234,1954
234-1955,666,A,primary,234,1955
234-1956,666,A,primary,234,1956
234-1957,666,A,primary,234,1957
234-1958,666,A,primary,234,1958
234-1959,666,A,primary,234,1959
234-1960,666,A,primary,234,1960
234-1961,666,A,primary,234,1961
234-1962,666,A,primary,234,1962
234-1963,666,A,primary,234,1963
234-1964,666,A,primary,234,1964
234-1965,666,A,primary,234,1965
234-1966,666,A,primary,234,1966
234-1967,666,A,primary,234,1967
234-1968,666,A,primary,234,1968
234-1969,666,A,primary,234,1969
234-1970,666,A,primary,234,1970
234-1971,666,A,primary,234,1971
234-1972,666,A,primary,234,1972
234-1973,666,A,primary,234,1973
234-1974,666,A,primary,234,1974
234-1975,666,A,primary,234,1975
234-1976,666,A,primary,234,1976
234-1977,666,A,primary,234,1977
234-1978,666,A,primary,234,1978
234-1979,666,A,primary,234,1979
234-1980,666,A,primary,234,1980
234-1981,666,A,primary,234,1981
234-1982,666,A,primary,234,1982
234-1982,652,B,secondary,234,1982
234-1983,666,A,primary,234,1983
234-1984,666,A,primary,234,1984
234-1985,666,A,primary,234,1985
234-1986,666,A,primary,234,1986
234-1987,666,A,primary,234,1987
234-1988,666,A,primary,234,1988
234-1989,666,A,primary,234,1989
234-1990,666,A,primary,234,1990
234-1991,666,A,primary,234,1991
234-1992,666,A,primary,234,1992
234-1993,666,A,primary,234,1993
234-1994,666,A,primary,234,1994
234-1995,666,A,primary,234,1995
234-1996,666,A,primary,234,1996
234-2000,666,A,primary,234,2000
234-2001,666,A,primary,234,2001
234-2002,666,A,primary,234,2002
234-2003,666,A,primary,234,2003
234-2004,666,A,primary,234,2004
234-2005,666,A,primary,234,2005
234-2006,666,A,primary,234,2006
234-2007,666,A,primary,234,2007
234-2008,666,A,primary,234,2008
234-2009,666,A,primary,234,2009
234-2010,666,A,primary,234,2010
234-2011,666,A,primary,234,2011
234-2012,666,A,primary,234,2012
234-2014,666,A,primary,234,2014
234-2018,666,A,primary,234,2018
235-1949,731,A,primary,235,1949
235-1949,732,B,primary,235,1949
235-1950,731,A,primary,235,1950
235-1950,710,A,secondary,235,1950
235-1950,365,A,secondary,235,1950
235-1950,732,B,primary,235,1950
235-1950,900,B,secondary,235,1950
235-1950,20,B,secondary,235,1950
235-1950,220,B,secondary,235,1950
235-1950,350,B,secondary,235,1950
235-1950,920,B,secondary,235,1950
235-1950,840,B,secondary,235,1950
235-1950,560,B,secondary,235,1950
235-1950,800,B,secondary,235,1950
235-1950,640,B,secondary,235,1950
235-1950,200,B,secondary,235,1950
235-1950,2,B,secondary,235,1950
235-1951,731,A,primary,235,1951
235-1951,710,A,secondary,235,1951
235-1951,365,A,secondary,235,1951
235-1951,732,B,primary,235,1951
235-1951,900,B,secondary,235,1951
235-1951,211,B,secondary,235,1951
235-1951,20,B,secondary,235,1951
235-1951,100,B,secondary,235,1951
235-1951,530,B,secondary,235,1951
235-1951,220,B,secondary,235,1951
235-1951,350,B,secondary,235,1951
235-1951,212,B,secondary,235,1951
235-1951,210,B,secondary,235,1951
235-1951,920,B,secondary,235,1951
235-1951,840,B,secondary,235,1951
235-1951,560,B,secondary,235,1951
235-1951,800,B,secondary,235,1951
235-1951,640,B,secondary,235,1951
235-1951,200,B,secondary,235,1951
235-1951,2,B,secondary,235,1951
235-1952,731,A,primary,235,1952
235-1952,710,A,secondary,235,1952
235-1952,365,A,secondary,235,1952
235-1952,732,B,primary,235,1952
235-1952,900,B,secondary,235,1952
235-1952,211,B,secondary,235,1952
235-1952,20,B,secondary,235,1952
235-1952,100,B,secondary,235,1952
235-1952,530,B,secondary,235,1952
235-1952,220,B,secondary,235,1952
235-1952,350,B,secondary,235,1952
235-1952,212,B,secondary,235,1952
235-1952,210,B,secondary,235,1952
235-1952,920,B,secondary,235,1952
235-1952,840,B,secondary,235,1952
235-1952,560,B,secondary,235,1952
235-1952,800,B,secondary,235,1952
235-1952,640,B,secondary,235,1952
235-1952,200,B,secondary,235,1952
235-1952,2,B,secondary,235,1952
235-1953,731,A,primary,235,1953
235-1953,710,A,secondary,235,1953
235-1953,365,A,secondary,235,1953
235-1953,732,B,primary,235,1953
235-1953,900,B,secondary,235,1953
235-1953,211,B,secondary,235,1953
235-1953,20,B,secondary,235,1953
235-1953,100,B,secondary,235,1953
235-1953,530,B,secondary,235,1953
235-1953,220,B,secondary,235,1953
235-1953,350,B,secondary,235,1953
235-1953,212,B,secondary,235,1953
235-1953,210,B,secondary,235,1953
235-1953,920,B,secondary,235,1953
235-1953,840,B,secondary,235,1953
235-1953,560,B,secondary,235,1953
235-1953,800,B,secondary,235,1953
235-1953,640,B,secondary,235,1953
235-1953,200,B,secondary,235,1953
235-1953,2,B,secondary,235,1953
236-1950,710,A,primary,236,1950
236-1956,710,A,primary,236,1956
236-1959,710,A,primary,236,1959
237-1950,850,A,primary,237,1950
238-1950,2,A,primary,238,1950
239-1951,651,A,primary,239,1951
239-1951,200,B,primary,239,1951
239-1952,651,A,primary,239,1952
239-1952,200,B,primary,239,1952
240-1951,800,A,primary,240,1951
240-1974,800,A,primary,240,1974
240-1975,800,A,primary,240,1975
240-1976,800,A,primary,240,1976
240-1977,800,A,primary,240,1977
240-1978,800,A,primary,240,1978
240-1979,800,A,primary,240,1979
240-1980,800,A,primary,240,1980
240-1981,800,A,primary,240,1981
240-1982,800,A,primary,240,1982
241-1952,200,A,primary,241,1952
241-1953,200,A,primary,241,1953
241-1954,200,A,primary,241,1954
241-1955,200,A,primary,241,1955
241-1956,200,A,primary,241,1956
242-1953,40,A,primary,242,1953
242-1956,40,A,primary,242,1956
242-1957,40,A,primary,242,1957
242-1958,40,A,primary,242,1958
242-1961,40,A,primary,242,1961
242-1961,2,B,secondary,242,1961
243-1953,850,A,primary,243,1953
243-1958,850,A,primary,243,1958
243-1959,850,A,primary,243,1959
243-1960,850,A,primary,243,1960
243-1961,850,A,primary,243,1961
244-1953,220,A,primary,244,1953
244-1954,220,A,primary,244,1954
244-1955,220,A,primary,244,1955
244-1956,220,A,primary,244,1956
245-1953,220,A,primary,245,1953
245-1954,220,A,primary,245,1954
245-1955,220,A,primary,245,1955
245-1956,220,A,primary,245,1956
246-1954,220,A,primary,246,1954
246-1955,220,A,primary,246,1955
246-1956,220,A,primary,246,1956
246-1957,220,A,primary,246,1957
246-1958,220,A,primary,246,1958
246-1959,220,A,primary,246,1959
246-1960,220,A,primary,246,1960
246-1961,220,A,primary,246,1961
246-1962,220,A,primary,246,1962
247-1955,160,A,primary,247,1955
247-1963,160,A,primary,247,1963
247-1974,160,A,primary,247,1974
247-1975,160,A,primary,247,1975
247-1976,160,A,primary,247,1976
247-1977,160,A,primary,247,1977
248-1955,200,A,primary,248,1955
248-1956,200,A,primary,248,1956
248-1957,200,A,primary,248,1957
248-1958,200,A,primary,248,1958
248-1959,200,A,primary,248,1959
249-1955,817,A,primary,249,1955
249-1956,817,A,primary,249,1956
249-1957,817,A,primary,249,1957
249-1958,817,A,primary,249,1958
249-1959,817,A,primary,249,1959
249-1960,817,A,primary,249,1960
249-1961,817,A,primary,249,1961
249-1962,817,A,primary,249,1962
249-1962,2,A,secondary,249,1962
249-1963,817,A,primary,249,1963
249-1963,2,A,secondary,249,1963
249-1964,817,A,primary,249,1964
249-1964,2,A,secondary,249,1964
250-1956,310,A,primary,250,1956
250-1956,365,B,primary,250,1956
251-1956,750,A,primary,251,1956
251-1957,750,A,primary,251,1957
251-1958,750,A,primary,251,1958
251-1959,750,A,primary,251,1959
251-1961,750,A,primary,251,1961
251-1962,750,A,primary,251,1962
251-1963,750,A,primary,251,1963
251-1964,750,A,primary,251,1964
251-1965,750,A,primary,251,1965
251-1966,750,A,primary,251,1966
