new_id,old_id,name
574,1428,AFL
575,1429,Agon-Yar subclan of Abgal clan (Hawiye)
576,1430,Ali-Gaf subclan of Abgal clan (Hawiye)
577,1431,Alur
578,1432,Amaro
579,1433,Anaguta
580,1434,Supporters of ANPP
581,1435,Anuak
582,1436,Agar Dinka
583,1437,Gok Dinka
584,1438,ARPCT
585,1439,Arrow Boys
586,1440,AWB
587,1441,Bachama
588,1442,Bakassi boys
589,1443,Birom
590,1444,Bokora Karimojong
591,1445,Borana
592,1446,Burji
593,1447,Dabare subclan of Digil clan (Digil-Mirifle)
594,1448,Darsalim
595,1449,Da'ud subclan of Abgal clan (Hawiye)
596,1450,Dawa
597,1451,Dimasa
598,1452,Dinka
599,1453,Dioula
600,1454,Dir clan
601,1455,Dizi
602,1456,Duduble subclan of Gorgorte clan (Hawiye)
603,1457,FAPC
604,1458,Fiqi Muhumud subclan (Dir)
605,1459,FN - IC
606,1460,FNI
607,1461,Fulani
608,1462,Hausa
609,1463,Gabra
610,1464,Galje'el clan (Hawiye)
611,1465,Gamai
612,1466,Garre subclan of Digil clan (Digil-Mirifle)
613,1467,Guji
614,1468,Gura
615,1469,Habaniya
616,1470,Hema
617,1472,Hotiya Baggara
618,1473,Huber subclan of Mirifle clan (Digil-Mirifle)
619,1474,Hutu rebels
620,1475,Supporters of IFP
621,1476,Igbo
622,1477,Ijaw
623,1478,"Interahamwe, ex-FAR"
624,1479,Issa
625,1480,Itsekiri
626,1481,Izzi
627,1482,Forces of Jama Ali Jama
628,1483,Janjaweed - Moro faction
629,1484,Janjaweed - Bin Kulaib faction
630,1485,Janjaweed
631,1487,Jejele subclan of Jibedi clan (Hawiye)
632,1488,Jiddo subclan of Digil clan (Digil-Mirifle)
633,1489,Jie
634,1490,JVA
635,1491,Kereyou
636,1492,Tama
637,1493,Kibete
638,1495,Lendu
639,1496,LPC
640,1497,Luway subclan of Mirifle clan (Digil-Mirifle)
641,1498,Ma'aliyah
642,1499,Mahadade subclan of Abgal clan (Hawiye)
643,1500,Mambila
644,1501,Marehan subclan of Sede clan (Darod)
645,1502,Mayi Mayi - Chinja Chinja
646,1503,Bena Nsimba
647,1504,Bena Kapuya
648,1505,Mayi Mayi
649,1507,MFDC - FN
650,1508,MFDC Front Nord - MD
651,1509,MFDC - S
652,1510,MILOCI
653,1511,RCD-N
654,1513,Mohamed Muse subclan of Abgal clan (Hawiye)
655,1514,Murle
656,1515,Murule subclan of Gugundabe clan (Hawiye)
657,1516,NDV
658,1517,Newiba
659,1518,Mayi Mayi - Ngilima
660,1519,Nuer
661,1520,Mahariba
662,1521,Mahamid
663,1522,Ogaden clan (Darod)
664,1523,Oromo
665,1524,PAC
666,1525,Pan
667,1526,PDF
668,1527,Supporters of PDP
669,1528,Pian Karimojong
670,1529,Pokot
671,1530,Puntland state of Somalia
672,1531,Rastas
673,1532,FRF
674,1534,RCD - LN
675,1535,Republic of Somaliland
676,1536,Rizeigat Abbala
677,1537,RRA - MH
678,1538,RRA
679,1539,RTC
680,1540,Sa'ad subclan of Habar Gidir clan (Hawiye)
681,1541,Sabiny
682,1542,Sheikhal clan (Dir)
683,1543,Rer Ahmad subclan (Hawiye)
684,1544,Hawarsame Rer Hasan and Habar Ya'qub subclan of Marehan clan (Darod)
685,1545,Somali (Ethiopia)
686,1546,SSDF
687,1548,Suleiman subclan of Habar Gidir clan (Hawiye)
688,1549,Suri
689,1550,Tarok
690,1551,Terjam
691,1552,Falata
692,1553,Toposa
693,1554,Turkana
694,1555,Ukele
695,1556,ULIMO - J
696,1557,ULIMO - K
697,1558,ULIMO
698,1559,USC/SSA - OMF
699,1560,Warsangeli subclan of Abgal clan (Hawiye)
700,1561,Yantar subclan of Mirifle clan (Digil-Mirifle)
701,1562,Yoruba
702,1563,Yugur
703,1564,Rizeigat Baggara
704,1565,SLDF
705,1566,Zaghawa
706,1567,Lou Nuer
707,1568,Didinga
708,1569,Bor Dinka
709,1570,Bi'idyahan subclan of Majerteen clan (Darod)
710,1571,Ismail subclan of Makahil clan (Darod)
711,1572,Majerteen subclan (Darod)
712,1573,Nyangatom
713,1574,Dassanetch
714,1575,Mungiki
715,1576,MPGK
716,1577,AN
717,1578,Al-Shabaab
718,1579,Harakat Ras Kamboni
719,1580,Popular Revolutionary Movement
720,1581,MNR
721,1582,ELN
722,1583,"Opposition coalition (Febreristas, Liberals and Communists)"
723,1584,Military faction (forces of Alfredo Stroessner)
724,1585,Military faction (forces of Andres Rodriguez)
725,1586,National Liberation Army
726,1587,Military faction
727,1588,Forces of Carlos Castillo Armas
728,1589,FAR I
729,1590,FAR II
730,1591,EGP
731,1592,ORPA
732,1593,URNG
733,1594,Puerto Rican Nationalist Party
734,1595,M-26-7
735,1596,Cuban Revolutionary Council
736,1597,Military faction (forces of Eduardo A. Lonardi Doucet)
737,1598,Military faction (colorados)
738,1599,ERP
739,1600,Montoneros
740,1601,Military faction (navy)
741,1602,Bandera Roja
742,1603,Military faction (forces of Hugo Chvez)
743,1604,FARC
744,1605,ELN
745,1606,M-19
746,1607,EPL
747,1608,Military faction (constitutionalists)
748,1609,ELN
749,1610,MIR
750,1611,Sendero Luminoso
751,1612,MRTA
752,1613,Military faction (forces of Benjamin Mejia)
753,1614,ERP
754,1615,FPL
755,1616,FMLN
756,1617,MLN/Tupamaros
757,1618,"Military faction (forces of Augusto Pinochet, Toribio Merino and Leigh Guzman)"
758,1619,FSLN
759,1620,Contras/FDN
760,1621,SLA
761,1622,Military faction (forces of Moiss Giroldi)
762,1623,Jamaat al-Muslimeen
