country,year,cow_id,cow_warCount,cow_IsInitiator,cow_TimeAtWar,cow_IsSameRegion,cow_type_ExtraState,cow_type_InterState,cow_type_IntraState,cow_type_NonState,cow_status_compromised,cow_status_contConflict,cow_status_lost,cow_status_ongoing,cow_status_stalemate,cow_status_transWarType,cow_status_won
Argentina,1999,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2000,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2001,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2002,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2003,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2004,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2005,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2006,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2007,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2008,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1991,371,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Armenia,1992,371,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Armenia,1993,371,2,1,1,2,0,1,1,0,0,0,0,1,0,1,0
Armenia,1994,371,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Armenia,1995,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1996,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1997,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1998,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1999,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2000,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2001,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2002,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2003,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2004,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2005,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
